Ads1,Site1,Ads2,Site2,Slab,eV,Gf,energyML,Std,energyDFT
CH,top_metal,CH2,top_metal,slab,6.985008422000001,7.5617584220000005,7.0965397091939835,0.5939770469182769,7.561758422
CH2,top_metal,CH2,top_metal,slab,4.4037326489,5.1242326489000005,5.253988992220226,0.5859389120412555,5.1242326489000005
NO,top_metal,CH2,top_metal,slab,3.6343413077999998,3.9443413078,3.478716707907405,0.6169549547349678,3.9443413078
NH,top_metal,CH2,top_metal,slab,3.6142898656,3.8605398656,4.0301883449409,0.6001652675061372,3.8605398656
NH2,top_metal,CH2,top_metal,slab,0.6820737507,1.1380737506999998,1.829704063531679,0.5896541879607835,1.1380737506999998
O,top_metal,CO,top_metal,slab,4.5091408899,4.732640889900001,4.656190849174967,0.32624722752984114,4.732640889900001
OH,top_metal,CO,top_metal,slab,1.8493060882,2.2165560882,1.8531456330918283,0.2849078754929596,2.2165560882
H2O,top_metal,CO,top_metal,slab,0.09399877470000001,0.6479987747,0.26947414227234834,0.28634143673169665,0.6479987747
CO,top_metal,CO,top_metal,slab,3.1440419421,3.8095419420999996,3.6373729589780277,0.2910752913718189,3.8095419421
CH,top_metal,CO,top_metal,slab,6.721804016,7.2985540160000015,7.061312264511251,0.280927214453087,7.2985540160000015
NO,top_metal,CO,top_metal,slab,3.6071629735000004,3.9171629735000004,3.7458473044125276,0.29107529137182503,3.9171629735
NH,top_metal,CO,top_metal,slab,3.3169589674,3.5632089674000005,3.1807902196217235,0.2835027030849835,3.5632089674000005
NH2,top_metal,CO,top_metal,slab,0.9735139258,1.4295139258,1.2234631223692602,0.2779664359071233,1.4295139258
NH3,top_metal,CO,top_metal,slab,-1.4734210894,-0.9286710894,-0.9220299086630313,0.28381199901938875,-0.9286710894
H2O,top_metal,H2O,top_metal,slab,-0.7915351589,-0.23753515890000002,0.2711162015356541,0.27797880644217793,-0.2375351589
OH,top_metal,H2O,top_metal,slab,1.9848615629,2.3521115629,1.77614534583451,0.27665236418180966,2.3521115629
CO,top_metal,H2O,top_metal,slab,3.4350838783999995,4.100583878399998,3.6634020335269044,0.2818208762865236,4.100583878399998
CH,top_metal,H2O,top_metal,slab,6.9569107507000005,7.5336607507,7.025165177917742,0.2732927400471512,7.5336607507
CH2,top_metal,H2O,top_metal,slab,4.5389346475000005,5.259434647500001,5.089674591027279,0.2661822154322307,5.259434647500001
NO,top_metal,H2O,top_metal,slab,3.6925818589999997,4.002581859,3.756036639532054,0.28182087628647634,4.002581859
NH,top_metal,H2O,top_metal,slab,3.0790455132999996,3.3252955133000004,3.091374366031225,0.27548695770071635,3.3252955133000004
NH2,top_metal,H2O,top_metal,slab,0.9399032256000001,1.3959032256000001,1.1616290292592275,0.27106994608970036,1.3959032256
NH3,top_metal,H2O,top_metal,slab,-1.20745772,-0.6627077200000001,-0.910013236273187,0.27584022524913404,-0.6627077200000001
N2,top_metal,N2,top_metal,slab,0.4137222028,0.7397222027999999,0.5464317562543354,0.3133252103928498,0.7397222027999999
O,top_metal,NH,top_metal,slab,4.3845879351,4.6080879350999995,4.935858551148037,0.45803702916429573,4.6080879351
NH,top_metal,NH,top_metal,slab,3.3761158623000003,3.6223658623000015,3.777541142534613,0.4179563181434062,3.6223658623000015
OH,top_metal,NH,top_metal,slab,1.9310181012,2.2982681012,2.2617823967531576,0.4321887182046349,2.2982681012
H2O,top_metal,NH,top_metal,slab,-0.5494477487,0.004552251300000032,0.26481574885268166,0.4240646461110617,0.004552251300000032
CO,top_metal,NH,top_metal,slab,3.0295508092000003,3.6950508092000014,3.381700656362099,0.43194860625742126,3.6950508092000014
CH2,top_metal,NH,top_metal,slab,4.8936473051,5.6141473050999995,5.262924071415739,0.4004283686859519,5.6141473051
NH,top_metal,NH,top_metal,slab,3.3761377675,3.6223877675,3.777541142534613,0.4179563181434062,3.6223877675
NH2,top_metal,NH,top_metal,slab,0.9895815749,1.4455815749,1.643417289934753,0.40730537674516254,1.4455815749
NH3,top_metal,NH,top_metal,slab,-1.4026790787,-0.8579290787000001,-0.8822299158683862,0.41831247814338424,-0.8579290787000001
O,top_metal,NH2,top_metal,slab,4.2702853772000005,4.493785377200001,4.930776989114418,0.7546695142356135,4.493785377200001
OH,top_metal,NH2,top_metal,slab,1.6071265675000002,1.9743765675,2.3488239599806455,0.7046934680513023,1.9743765675
H2O,top_metal,NH2,top_metal,slab,-0.4271702109,0.12682978910000006,0.267793119752298,0.6702695953998987,0.12682978910000006
CO,top_metal,NH2,top_metal,slab,2.947525593,3.613025593,3.1773310611159005,0.6757543931004004,3.613025593
